num_emprise,code_postal,date_debut,date_fin,responsable,maitre_ouvrage,surface,nature,encombrement,impact_stat,demande_cite_id,chantier_cite_id,geo_shape_type,geo_shape_geometry_coordinates,geo_shape_geometry_type,geo_point_2d_lon,geo_point_2d_lat,duree_jours,arrondissement,annee_debut,mois_debut,trimestre_debut,statut,latitude,longitude
EC424687,75010,2024-11-22,2026-02-27,Ville de Paris (Tvx sur espace ou édifice public),Direction de la Voirie et des Déplacements,352.64,Aménagement de voirie (VdP*),"c(""EMPRISE_CHAUSSEE"", ""EMPRISE_TROTTOIR"")",NULL,891015,276923,Feature,,Polygon,2.3530366274150585,48.88095875564753,462,10,2024,novembre,4,En cours,48.88095875564753,2.3530366274150585
EC469813,75014,2025-12-15,2028-08-31,Opérateurs de réseau (gaz-électricité-RATP-etc),RATP,357.06,Travaux sur réseau de transport public,EMPRISE_TROTTOIR,NULL,926506,305760,Feature,,Polygon,2.340438417093136,48.820094482960705,990,14,2025,décembre,4,En cours,48.820094482960705,2.340438417093136
EC465910,75020,2025-11-03,2025-12-31,Opérateurs de réseau (gaz-électricité-RATP-etc),CITELUM,57.52,Travaux sur mobiliers urbains,EMPRISE_TROTTOIR,NULL,923275,303182,Feature,,Polygon,2.3929447862501094,48.86662829275524,58,20,2025,novembre,4,En cours,48.86662829275524,2.3929447862501094
EC469748,75018,2025-10-06,2026-01-23,Opérateurs de réseau (gaz-électricité-RATP-etc),ESPACES FERROVIAIRES AMENAGEMENT,51.03,Construction ou réhabilitation d’immeuble,EMPRISE_CHAUSSEE,ZONE_LIVRAISON,926454,305720,Feature,,Polygon,2.357978400457757,48.898034017324754,109,18,2025,octobre,4,En cours,48.898034017324754,2.357978400457757
EC463969,75018,2025-10-27,2026-05-31,Opérateurs de réseau (gaz-électricité-RATP-etc),SPL PARIS ET METROPOLE AMENAGEMENT,96.29,Aménagement de l’espace public,EMPRISE_TROTTOIR,NULL,921762,301928,Feature,,Polygon,2.3667476479522063,48.901041531725625,216,18,2025,octobre,4,En cours,48.901041531725625,2.3667476479522063
EC461774,75007,2025-08-11,2026-01-30,Opérateurs de réseau (gaz-électricité-RATP-etc),EAU DE PARIS,8.07,Travaux sur réseau d’eau,EMPRISE_TROTTOIR,NULL,919983,300476,Feature,,Polygon,2.310641155473588,48.851267619920336,172,7,2025,août,3,En cours,48.851267619920336,2.310641155473588
EC476974,75015,2024-11-01,2026-03-13,Ville de Paris (Tvx sur espace ou édifice public),Direction de la Voirie et des Déplacements,3.79,Aménagement ou entretien de l’espace public,EMPRISE_TROTTOIR,NULL,932155,310328,Feature,,Polygon,2.2976665061969235,48.845318153847025,497,15,2024,novembre,4,En cours,48.845318153847025,2.2976665061969235
EC441292,75018,2025-03-17,2026-03-27,Opérateurs de réseau (gaz-électricité-RATP-etc),RATP,70.9,Travaux sur réseau de transport public,"c(""EMPRISE_CHAUSSEE"", ""EMPRISE_TROTTOIR"")",NULL,904197,287601,Feature,,Polygon,2.3592497026092274,48.89762656956107,375,18,2025,mars,1,En cours,48.89762656956107,2.3592497026092274
EC478482,75015,2025-11-24,2026-02-27,Ville de Paris (Tvx sur espace ou édifice public),Direction de la Voirie et des Déplacements,17.97,Aménagement de voirie (VdP*),EMPRISE_TROTTOIR,NULL,933520,311405,Feature,,Polygon,2.3104460898412613,48.847806260895105,95,15,2025,novembre,4,En cours,48.847806260895105,2.3104460898412613
EC402917,75012,2024-06-10,2026-03-31,Ville de Paris (Tvx sur espace ou édifice public),Direction de la Voirie et des Déplacements,137.22,Aménagement de voirie (VdP*),"c(""EMPRISE_CHAUSSEE"", ""EMPRISE_TROTTOIR"")",STATIONNEMENT_PAYANT,873802,262957,Feature,,Polygon,2.394387414687844,48.84065009729357,659,12,2024,juin,2,En cours,48.84065009729357,2.394387414687844
EC439851,75009,2025-05-19,2026-09-30,Ville de Paris (Tvx sur espace ou édifice public),Ville de Paris (autres),80.84,Travaux sur édifice public (VdP*),EMPRISE_TROTTOIR,NULL,903173,286777,Feature,,Polygon,2.339116084969396,48.87673747899952,499,9,2025,mai,2,En cours,48.87673747899952,2.339116084969396
EC471927,75013,2025-11-17,2026-01-31,Ville de Paris (Tvx sur espace ou édifice public),Section de l'Assainissement de Paris,117.73,Travaux sur réseau d’assainissement,"c(""EMPRISE_CHAUSSEE"", ""EMPRISE_TROTTOIR"")",STATIONNEMENT_PAYANT,928245,307163,Feature,,Polygon,2.3492159417312894,48.82479202531077,75,13,2025,novembre,4,En cours,48.82479202531077,2.3492159417312894
EC469872,75018,2025-09-29,2026-02-27,Ville de Paris (Tvx sur espace ou édifice public),Direction de la Voirie et des Déplacements,1862.97,Aménagement de voirie (VdP*),"c(""EMPRISE_CHAUSSEE"", ""EMPRISE_TROTTOIR"")",NULL,926575,305820,Feature,,Polygon,2.3338751966164626,48.88491358814746,151,18,2025,septembre,3,En cours,48.88491358814746,2.3338751966164626
EC474310,75018,2025-11-17,2026-01-16,Opérateurs de réseau (gaz-électricité-RATP-etc),RATP,32.46,Travaux sur réseau de transport public,"c(""EMPRISE_CHAUSSEE"", ""EMPRISE_PISTE_CYCLABLE"")",NULL,929918,308562,Feature,,Polygon,2.364243729027677,48.89869705532557,60,18,2025,novembre,4,En cours,48.89869705532557,2.364243729027677
EC475552,75007,2025-11-03,2026-02-27,Opérateurs de réseau (gaz-électricité-RATP-etc),FRAICHEUR DE PARIS,73.36,Travaux sur réseau de climatisation,"c(""EMPRISE_CHAUSSEE"", ""EMPRISE_TROTTOIR"")",NULL,931049,309438,Feature,,Polygon,2.328953612463735,48.859157665024334,116,7,2025,novembre,4,En cours,48.859157665024334,2.328953612463735
EC463301,75009,2025-08-25,2026-01-30,Opérateurs de réseau (gaz-électricité-RATP-etc),RATP,23.89,Travaux sur réseau de transport public,EMPRISE_CHAUSSEE,NULL,921236,301505,Feature,,Polygon,2.337481292723273,48.87801307410074,158,9,2025,août,3,En cours,48.87801307410074,2.337481292723273
EC465836,75013,2025-10-01,2027-06-01,Ville de Paris (Tvx sur espace ou édifice public),DPE,81.96,Aménagement ou entretien de l’espace public,"c(""EMPRISE_PISTE_CYCLABLE"", ""EMPRISE_TROTTOIR"")",NULL,923209,303128,Feature,,Polygon,2.384101638661503,48.82864589686055,608,13,2025,octobre,4,En cours,48.82864589686055,2.384101638661503
EC450227,75012,2025-06-09,2025-12-31,Ville de Paris (Tvx sur espace ou édifice public),Ville de Paris (autres),1108.99,Travaux sur édifice public (VdP*),EMPRISE_TROTTOIR,NULL,910674,292813,Feature,,Polygon,2.376608966305194,48.84501902274166,205,12,2025,juin,2,En cours,48.84501902274166,2.376608966305194
EC474562,75009,2025-10-27,2026-01-30,Ville de Paris (Tvx sur espace ou édifice public),Section de l'Assainissement de Paris,19.44,Travaux sur réseau d’assainissement,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,930133,308736,Feature,,Polygon,2.3309823323616095,48.87464966702016,95,9,2025,octobre,4,En cours,48.87464966702016,2.3309823323616095
EC442299,75009,2025-04-13,2026-04-13,Ville de Paris (Tvx sur espace ou édifice public),Ville de Paris (autres),12.58,Travaux sur édifice public (VdP*),EMPRISE_CHAUSSEE,ZONE_LIVRAISON,904900,288171,Feature,,Polygon,2.3406004930665647,48.87334428842361,365,9,2025,avril,2,En cours,48.87334428842361,2.3406004930665647
EC458512,75019,2025-09-01,2025-12-31,Ville de Paris (Tvx sur espace ou édifice public),Ville de Paris (autres),98.13,Travaux sur édifice public (VdP*),EMPRISE_TROTTOIR,NULL,917177,298179,Feature,,Polygon,2.3822648445062113,48.88282253810791,121,19,2025,septembre,3,En cours,48.88282253810791,2.3822648445062113
EC464157,75014,2025-10-26,2026-04-30,Ville de Paris (Tvx sur espace ou édifice public),Ville de Paris (autres),143.45,Travaux sur édifice public (VdP*),"c(""EMPRISE_CHAUSSEE"", ""EMPRISE_TROTTOIR"")",NULL,921398,301650,Feature,,Polygon,2.3344128142700984,48.829417188670895,186,14,2025,octobre,4,En cours,48.829417188670895,2.3344128142700984
EC479542,75020,2025-12-01,2026-01-30,Ville de Paris (Tvx sur espace ou édifice public),Ville de Paris (autres),34.32,Travaux sur édifice public (VdP*),EMPRISE_TROTTOIR,NULL,934286,312046,Feature,,Polygon,2.4078880623822085,48.85744346609663,60,20,2025,décembre,4,En cours,48.85744346609663,2.4078880623822085
EC478060,75010,2025-12-15,2026-01-23,Ville de Paris (Tvx sur espace ou édifice public),Direction de la Voirie et des Déplacements,13.05,Aménagement ou entretien de l’espace public,EMPRISE_TROTTOIR,STATIONNEMENT_PAYANT,933092,311061,Feature,,Polygon,2.365290139945171,48.87678454978566,39,10,2025,décembre,4,En cours,48.87678454978566,2.365290139945171
EC471712,75007,2025-11-03,2026-02-27,Opérateurs de réseau (gaz-électricité-RATP-etc),FRAICHEUR DE PARIS,3.13,Travaux sur réseau de climatisation,EMPRISE_TROTTOIR,NULL,928084,307026,Feature,,Polygon,2.3295710233460745,48.85854041910456,116,7,2025,novembre,4,En cours,48.85854041910456,2.3295710233460745
EC479977,75002,2025-12-08,2026-01-31,Ville de Paris (Tvx sur espace ou édifice public),Direction de la Voirie et des Déplacements,975.62,Aménagement de voirie (VdP*),EMPRISE_CHAUSSEE,"c(""DEUX_ROUES"", ""STATIONNEMENT_PAYANT"", ""TRANSPORT_DE_FONDS"", ""ZONE_LIVRAISON"")",934672,312350,Feature,,Polygon,2.342147557313278,48.869141522495255,54,2,2025,décembre,4,En cours,48.869141522495255,2.342147557313278
