nature,nb_chantiers,pourcentage
Construction ou réhabilitation d’immeuble,3011,75.86
Aménagement ou entretien de l’espace public,237,5.97
Travaux sur réseau électrique,187,4.71
Travaux sur édifice public (VdP*),108,2.72
Travaux sur réseau de chauffage urbain,86,2.17
Travaux sur réseau de transport public,74,1.86
Aménagement de voirie (VdP*),72,1.81
Travaux sur réseau de gaz,38,0.96
Espaces verts – Végétalisation de l’espace public,26,0.66
Travaux sur réseau de climatisation,26,0.66
Travaux sur réseau d’assainissement,23,0.58
Travaux sur mobiliers urbains,20,0.5
Travaux sur réseau d’eau,16,0.4
Aménagement de l’espace public,13,0.33
Espaces verts – Entretien des plantations,9,0.23
Espaces verts – Emprise pour cantonnement ou stockage,8,0.2
Travaux sur réseau d’éclairage public ou signalisation lumineuse tricolore,8,0.2
Travaux sur réseau télécom,7,0.18
